Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Citation,CitationType,0,1,A citation for the collection. May additionally be rendered in native qualified Dublin Core (dc and dcterms).,,,,,,,,,ddi:reusable:3_2,e,
LocationInArchive,InternationalStringType,0,n,Describes the location of the collection within the archive. Repeat for multiple locations such as separate stores for access and archival copies.,,,,,,,,,ddi:archive:3_2,e,
CallNumber,string,0,1,"The name, code, or number used by the archive to uniquely identify the collection within the archive.",,,,,,,,,ddi:archive:3_2,e,
URI,anyURI,0,1,The URL or URN for the collection.,,,,,,,,,ddi:reusable:3_2,e,
ItemQuantity,int,0,1,The number of items in the collection. This is a check sum and should be updated as the contents of the collection changes. The use of this element is best restricted to completed collections where change in the number of objects is not dynamic.,,,,,,,,,ddi:archive:3_2,e,
StudyClass,StudyClassType,0,1,"An archive specific classification for the collection. This may be a topical classification, a classification of intended processing levels, or information on the processing status.",,,,,,,,,ddi:archive:3_2,e,
DefaultAccess,AccessType,0,1,Default access restriction information applying to all of the items in the collection.,,,,,,,,,ddi:archive:3_2,e,
OriginalArchiveOrganizationReference,Organization,0,n,"The original archive for the described collection, expressed as a reference to an organization listed in the organization scheme.",,,,,,,,,ddi:archive:3_2,e,
AvailabilityStatus,StructuredStringType,0,1,A statement of availability for the collection. This is a positive statement (as opposed to access restrictions) which may be used for publication or other purposes. Allows for structured content.,,,,,,,,,ddi:archive:3_2,e,
DataFileQuantity,int,0,1,"The number of data files in the described collection, expressed as an integer. This is a check sum and should be updated as the contents of the collection changes. The use of this element is best restricted to completed collections where change in the number of objects is not dynamic.",,,,,,,,,ddi:archive:3_2,e,
CollectionCompleteness,StructuredStringType,0,1,Describes the completeness of the collection. Note coverage gaps as well as collections strengths. This statement may be used for publication or other purposes. Allows for structured content.,,,,,,,,,ddi:archive:3_2,e,
Item,ItemType,0,n,Allows for the nesting of Item descriptions with a collection.,,,,,,,,,ddi:archive:3_2,e,
Collection,CollectionType,0,n,Allows for the nesting of collection descriptions with a collection hierarchical groupings within a collection description.,,,,,,,,,ddi:archive:3_2,e,
