Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DataCollectionModuleName,NameType,0,n,"A name for the DataCollection module. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,ddi:datacollection:3_3,e,
Label,LabelType,0,n,"A display label for the DataCollection module. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the DataCollection module. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,ddi:reusable:3_3,e,
Coverage,CoverageType,0,1,"Documents the spatial, temporal, and/or topical coverage of the data collection module.",,,,,,,,,ddi:reusable:3_3,e,
MethodologyReference,Methodology,0,1,"Metadata regarding the methodology of the data collection process including, determining repetition patterns, sampling, collection modes, etc.",,,,,,,,,ddi:datacollection:3_3,e,
QuestionnaireDevelopmentReference,QuestionnaireDevelopment,0,1,"Questionnaire development covers the development planning, process, and outcome for a partial or full questionnaire. Development normally included the development of the question wording, possible response domains and their presentation, translation for language or cultural variance in the population, and question order. Extensive work is often done for individual questions that may be reused by different questionnaires with the organization or for topical areas or populations that are difficult to measure.",,,,,,,,,ddi:datacollection:3_3,e,
CollectionEvent,CollectionEventType,0,n,A specific event in the collection or capture process.,,,,,,,,,ddi:datacollection:3_3,e,
QuestionSchemeReference,QuestionScheme,0,n,Describes a set of questions used for data collection.,,,,,,,,,ddi:datacollection:3_3,e,
MeasurementSchemeReference,MeasurementScheme,0,n,Describes a set of measurements used for data collection.,,,,,,,,,ddi:datacollection:3_3,e,
ControlConstructSchemeReference,ControlConstructScheme,0,n,Describes a set of control constructs used to produce the flow pattern of a questionnaire or steps in a data capture process.,,,,,,,,,ddi:datacollection:3_3,e,
InterviewerInstructionSchemeReference,InterviewerInstructionScheme,0,n,Describes a set of instructions used by the interviewer (respondent in the case of a self administered questionnaire) or instrument to support the accurate collection or capture of data.,,,,,,,,,ddi:datacollection:3_3,e,
InstrumentSchemeReference,InstrumentScheme,0,n,Describes a set of instruments used to collect or capture data.,,,,,,,,,ddi:datacollection:3_3,e,
ProcessingEventSchemeReference,ProcessingEventScheme,0,n,Describes a set of processing events used to collect or capture data and process it during or post collection. May include the processes used to capture data in non-questionnaire data capture.,,,,,,,,,ddi:datacollection:3_3,e,
ProcessingInstructionSchemeReference,ProcessingInstructionScheme,0,n,Describes a set of processing instructions used to collect or capture data and process it during or post collection. May include the processing instructions used to capture data in non-questionnaire data capture.,,,,,,,,,ddi:datacollection:3_3,e,
SampleFrameSchemeReference,SampleFrameScheme,0,n,"A set of sample frames maintained by an agency, and used in the instrument.",,,,,,,,,ddi:datacollection:3_3,e,
SamplingPlanSchemeReference,SamplingPlanScheme,0,n,"A set of sampling plans maintained by an agency, and used in the instrument.",,,,,,,,,ddi:datacollection:3_3,e,
DevelopmentActivitySchemeReference,DevelopmentActivityScheme,0,n,"A set of development activities maintained by an agency, and used in the creation of a questionnaire.",,,,,,,,,ddi:datacollection:3_3,e,
