Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
QuestionBlockName,NameType,0,n,"A name for the QuestionBlock. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,ddi:datacollection:3_2,e,
InParameter,InParameterType,0,n,Provides an identity for input objects required for the QuestionBlock.,,,,,,,,,ddi:reusable:3_2,e,
OutParameter,ParameterType,0,n,Provides an identify for the output objects of the QuestionBlock.,,,,,,,,,ddi:reusable:3_2,e,
Binding,BindingType,0,n,"A structure used to bind the content of a parameter declared as the source to a parameter declared as the target. For example, binding the OutParameter of one Question to the InParameter of another Question in order to personalize a question text. Care should be taken to bind only reusable information at this level. Binding is also available at the QuestionConstruct to reflect bindings particular to the use of the question in a specific question flow or instrument.",,,,,,,,,ddi:reusable:3_2,e,
QuestionBlockIntent,StructuredStringType,0,1,The purpose of the QuestionBlock in terms of what it is designed to test. May contain information on specific aspects of the Block and its construction.,,,,,,,,,ddi:datacollection:3_2,e,
StimulusMaterial,OtherMaterialType,0,1,"Material that is visual, verbal and/or auditory used to communicate ideas or information which can be researched or provide a source for a response. For example, a picture about which a number of questions are asked, or a sound for which a measurable response is taken (as in a hearing test).",,,,,,,,,ddi:datacollection:3_2,e,
QuestionItemReference,QuestionItem,0,1,Reference to a QuestionItem containing a question regarding the stimulus material.,,,,,,,,,ddi:datacollection:3_2,e,
QuestionGridReference,QuestionGrid,0,1,Reference to a QuestionGrid containing a question regarding the stimulus material.,,,,,,,,,ddi:datacollection:3_2,e,
QuestionSequence,QuestionSequenceType,0,1,"Allows for recommending that the sequence of questions should vary according to a specified pattern, i.e., random, rotation, etc.",,,,,,,,,ddi:datacollection:3_2,e,
ResponseCardinality,ResponseCardinalityType,0,1,Indicates the minimum and maximum number of responses to expect from the QuestionBlock.,,,,,,,,,ddi:reusable:3_2,e,
ConceptReference,Concept,0,n,A reference to the concept the QuestionBlock is intended to gather data on.,,,,,,,,,ddi:reusable:3_2,e,
ExternalAid,OtherMaterialType,0,n,"A pointer to an external aid presented by the instrument such as a text card, image, audio, or audiovisual aid. Typically a URN. Use type attribute to describe the type of external aid provided. Example of terms to use would include: imageOnly audioOnly audioVisual multiMedia.",,,,,,,,,ddi:datacollection:3_2,e,
ExternalInterviewerInstruction,ExternalInterviewerInstructionType,0,1,External reference to an interviewer instruction not expressed as DDI XML using OtherMaterial.,,,,,,,,,ddi:datacollection:3_2,e,
InterviewerInstructionReference,Instruction,0,1,Reference to an interviewer instruction expressed as DDI XML.,,,,,,,,,ddi:datacollection:3_2,e,
EstimatedSecondsResponseTime,decimal,0,1,The estimated amount of time required to answer a question expressed in seconds. Decimal values should be used to define fractions of seconds.,,,,,,,,,,a,
